,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
ELDER,Hawthorn West,347,59,181,107,966,100,746,120,406,203,166,37,144,82,41,12,29,15,7,7,1,43,25,11,7,4,138,20,8,2,10,40,4,26,10,51,15,23,13,27,0
ELDER,Hawthorndene,255,42,160,53,529,87,373,69,375,202,128,45,182,81,48,8,25,8,4,1,3,87,57,14,16,6,113,14,4,5,5,52,8,27,17,30,9,13,8,17,0
ELDER,Melrose Park,596,97,301,198,703,110,498,95,429,223,153,53,180,111,52,13,46,12,4,3,5,54,43,6,5,3,167,42,20,12,10,46,9,24,13,49,17,13,19,30,2
ELDER,Mitchell Park,523,81,262,180,406,86,247,73,294,151,104,39,92,55,22,11,22,6,3,1,2,26,19,4,3,5,149,25,6,7,12,41,8,21,12,38,16,8,14,45,0
ELDER,Pasadena,463,62,238,163,772,95,532,145,428,206,163,59,108,53,21,7,25,9,3,6,0,41,27,4,10,5,160,29,12,8,9,45,10,17,18,52,16,16,20,34,2
ELDER,St Marys,405,72,196,137,399,66,271,62,305,168,92,45,95,55,21,11,23,5,2,3,0,31,18,3,10,4,143,28,14,7,7,54,9,22,23,39,9,18,12,22,3
ELDER,Tonsley Park,410,43,197,170,293,51,101,141,234,139,60,35,72,45,22,4,19,4,2,1,1,18,13,2,3,5,119,16,5,2,9,29,6,10,13,37,12,10,15,37,2
ELDER,Westbourne Park,342,67,180,95,755,93,591,71,397,184,180,33,140,79,42,5,32,12,8,2,2,46,37,5,4,3,105,20,9,4,7,37,5,15,17,34,11,13,10,14,0
ELIZABETH,Craigmore,1475,206,674,595,609,150,357,102,601,316,179,106,128,89,39,12,38,9,6,1,2,21,11,5,5,9,682,175,57,24,94,122,35,41,46,188,65,34,89,197,2
ELIZABETH,Craigmore North,878,139,367,372,394,71,276,47,332,170,108,54,66,34,17,4,13,5,2,1,2,21,14,3,4,6,319,78,24,17,37,79,21,29,29,76,19,17,40,86,2
ELIZABETH,Craigmore South,977,89,465,423,461,79,303,79,486,264,127,95,54,25,14,3,8,6,4,2,0,16,10,3,3,7,504,130,41,17,72,101,27,38,36,140,44,37,59,133,2
ELIZABETH,Elizabeth,280,42,126,112,91,22,36,33,103,53,35,15,33,20,13,2,5,3,0,1,2,5,5,0,0,5,112,36,15,5,16,24,4,9,11,19,5,4,10,33,0
ELIZABETH,Elizabeth Downs,876,89,409,378,225,58,126,41,368,227,76,65,52,27,10,3,14,4,1,2,1,8,6,1,1,13,380,102,29,16,57,47,9,11,27,106,48,14,44,125,5
ELIZABETH,Elizabeth East,827,85,408,334,268,42,172,54,379,225,77,77,48,24,10,6,8,5,2,1,2,11,8,1,2,8,337,91,35,12,44,59,13,21,25,85,28,9,48,102,5
ELIZABETH,Elizabeth Grove,405,37,188,180,100,13,65,22,190,105,50,35,41,25,12,6,7,4,2,0,2,10,7,0,3,2,152,52,12,11,29,17,6,5,6,41,16,9,16,42,2
ELIZABETH,Elizabeth Park,651,68,301,282,176,27,113,36,293,153,66,74,41,28,14,3,11,1,0,0,1,8,6,0,2,4,259,85,26,15,44,38,12,16,10,62,23,14,25,74,1
ELIZABETH,Elizabeth South,642,70,325,247,145,23,98,24,238,130,55,53,50,23,11,3,9,4,4,0,0,16,10,1,5,7,271,78,23,11,44,45,12,14,19,63,27,8,28,85,2
ELIZABETH,Elizabeth Vale,820,108,401,311,306,53,199,54,377,190,107,80,58,40,25,3,12,4,2,0,2,10,6,1,3,4,283,62,18,13,31,49,12,16,21,86,31,15,40,86,4
ENDCOE,Edwardstown,522,83,277,162,488,83,340,65,310,173,98,39,116,77,41,12,24,5,4,1,0,30,24,2,4,4,167,44,11,7,26,35,8,17,10,45,13,11,21,43,3
ENFIELD,Blair Athol,598,135,241,222,222,58,129,35,189,107,53,29,68,39,21,7,11,4,0,2,2,15,10,3,2,10,159,49,12,17,20,29,3,8,18,45,14,5,26,36,2
ENFIELD,Broadview,608,132,297,179,877,147,615,115,511,246,227,38,162,93,43,15,35,12,6,3,3,48,36,4,8,9,189,32,13,3,16,52,14,22,16,67,22,25,20,38,1
ENFIELD,Enfield,726,144,335,247,452,112,268,72,290,171,78,41,93,56,23,9,24,7,3,2,2,27,19,1,7,3,187,43,18,4,21,36,5,15,16,46,18,11,17,62,3
ENFIELD,Enfield North,343,85,148,110,213,48,129,36,151,78,48,25,57,35,14,9,12,5,3,1,1,15,12,0,3,2,85,19,6,7,6,25,4,9,12,28,4,6,18,13,1
